TOP.599ca620.00000000	START
TOP.59a003ac.00000000	user_options->stdout_flag	0
TOP.59a003ac.00000000	user_options->speed_only	0
TOP.59a003ac.00000000	user_options->progress_only	0
TOP.59a003ac.00000000	user_options->usage	0
TOP.59a003ac.00000000	user_options->username	0
TOP.59a003ac.00000000	user_options->veracrypt_pim	0
TOP.59a003ac.00000000	user_options->version	0
TOP.59a003ac.00000000	user_options->weak_hash_threshold	0
TOP.59a003ac.00000000	user_options->workload_profile	2
TOP.59a003ac.00000000	hashes->hashfile	E:\hashcat-3.6.0\Scripts\Input\hashes.hash
TOP.59a003ac.00000000	hashes->hashlist_mode	4
TOP.59a003ac.00000000	hashes->hashlist_format	0
TOP.59a003ac.00000000	hashes->hashes_cnt	0
TOP.59a003ac.00000000	hashes->digests_cnt	87
TOP.59a003ac.00000000	hashes->digests_done	0
TOP.59a003ac.00000000	hashes->salts_cnt	1
TOP.59a003ac.00000000	hashes->salts_done	0
TOP.59a003ac.00000000	SUB.59a003ae.303d471d	START
TOP.59a003ac.00000000	SUB.59a003ae.303d471d	mask_ctx->mask	?a?a?a?a
TOP.59a003ac.00000000	SUB.59a003ae.303d471d	runtime_start	1503658927
TOP.59a003ac.00000000	SUB.59a003ae.303d471d	runtime_stop	1503658927
TOP.59a003ac.00000000	SUB.59a003ae.303d471d	status-after-work	4
TOP.59a003ac.00000000	SUB.59a003ae.303d471d	STOP
TOP.59a003ac.00000000	proc_start	1503658924
TOP.59a003ac.00000000	proc_stop	1503658928
TOP.59a003ac.00000000	STOP
TOP.59a003d6.00000000	START
TOP.59a003d6.00000000	user_options->separator	:
TOP.59a003d6.00000000	user_options->encoding_from	utf-8
TOP.59a003d6.00000000	user_options->encoding_to	utf-8
TOP.59a003d6.00000000	user_options->outfile	E:\hashcat-3.6.0\Scripts\Output\output.txt
TOP.59a003d6.00000000	user_options->rule_buf_l	:
TOP.59a003d6.00000000	user_options->rule_buf_r	:
TOP.59a003d6.00000000	user_options->session	hashcat
TOP.59a003d6.00000000	user_options->limit	0
TOP.59a003d6.00000000	user_options->skip	0
TOP.59a003d6.00000000	user_options->attack_mode	3
TOP.59a003d6.00000000	user_options->benchmark	0
TOP.59a003d6.00000000	user_options->bitmap_max	24
TOP.59a003d6.00000000	user_options->bitmap_min	16
TOP.59a003d6.00000000	user_options->debug_mode	0
TOP.59a003d6.00000000	user_options->force	0
TOP.59a003d6.00000000	user_options->gpu_temp_abort	90
TOP.59a003d6.00000000	user_options->gpu_temp_disable	0
TOP.59a003d6.00000000	user_options->gpu_temp_retain	75
TOP.59a003d6.00000000	user_options->hash_mode	0
TOP.59a003d6.00000000	user_options->hex_charset	0
TOP.59a003d6.00000000	user_options->hex_salt	0
TOP.59a003d6.00000000	user_options->hex_wordlist	0
TOP.59a003d6.00000000	user_options->increment	0
TOP.59a003d6.00000000	user_options->increment_max	54
TOP.59a003d6.00000000	user_options->increment_min	1
TOP.59a003d6.00000000	user_options->keep_guessing	0
TOP.59a003d6.00000000	user_options->kernel_accel	0
TOP.59a003d6.00000000	user_options->kernel_loops	0
TOP.59a003d6.00000000	user_options->keyspace	0
TOP.59a003d6.00000000	user_options->left	0
TOP.59a003d6.00000000	user_options->logfile_disable	0
TOP.59a003d6.00000000	user_options->loopback	0
TOP.59a003d6.00000000	user_options->machine_readable	0
TOP.59a003d6.00000000	user_options->markov_classic	0
TOP.59a003d6.00000000	user_options->markov_disable	0
TOP.59a003d6.00000000	user_options->markov_threshold	256
TOP.59a003d6.00000000	user_options->nvidia_spin_damp	100
TOP.59a003d6.00000000	user_options->opencl_info	0
TOP.59a003d6.00000000	user_options->opencl_vector_width	0
TOP.59a003d6.00000000	user_options->outfile_autohex	1
TOP.59a003d6.00000000	user_options->outfile_check_timer	5
TOP.59a003d6.00000000	user_options->outfile_format	2
TOP.59a003d6.00000000	user_options->potfile_disable	0
TOP.59a003d6.00000000	user_options->powertune_enable	0
TOP.59a003d6.00000000	user_options->quiet	0
TOP.59a003d6.00000000	user_options->remove	0
TOP.59a003d6.00000000	user_options->remove_timer	60
TOP.59a003d6.00000000	user_options->restore	0
TOP.59a003d6.00000000	user_options->restore_disable	0
TOP.59a003d6.00000000	user_options->restore_timer	60
TOP.59a003d6.00000000	user_options->rp_files_cnt	0
TOP.59a003d6.00000000	user_options->rp_gen	0
TOP.59a003d6.00000000	user_options->rp_gen_func_max	4
TOP.59a003d6.00000000	user_options->rp_gen_func_min	1
TOP.59a003d6.00000000	user_options->rp_gen_seed	0
TOP.59a003d6.00000000	user_options->runtime	0
TOP.59a003d6.00000000	user_options->scrypt_tmto	0
TOP.59a003d6.00000000	user_options->segment_size	33554432
TOP.59a003d6.00000000	user_options->show	0
TOP.59a003d6.00000000	user_options->status	0
TOP.59a003d6.00000000	user_options->status_timer	10
TOP.59a003d6.00000000	user_options->stdout_flag	0
TOP.59a003d6.00000000	user_options->speed_only	0
TOP.59a003d6.00000000	user_options->progress_only	0
TOP.59a003d6.00000000	user_options->usage	0
TOP.59a003d6.00000000	user_options->username	0
TOP.59a003d6.00000000	user_options->veracrypt_pim	0
TOP.59a003d6.00000000	user_options->version	0
TOP.59a003d6.00000000	user_options->weak_hash_threshold	0
TOP.59a003d6.00000000	user_options->workload_profile	2
TOP.59a003d6.00000000	hashes->hashfile	E:\hashcat-3.6.0\Scripts\Input\hashes.hash
TOP.59a003d6.00000000	hashes->hashlist_mode	4
TOP.59a003d6.00000000	hashes->hashlist_format	0
TOP.59a003d6.00000000	hashes->hashes_cnt	0
TOP.59a003d6.00000000	hashes->digests_cnt	87
TOP.59a003d6.00000000	hashes->digests_done	0
TOP.59a003d6.00000000	hashes->salts_cnt	1
TOP.59a003d6.00000000	hashes->salts_done	0
TOP.59a003d6.00000000	SUB.59a003d8.303d471d	START
TOP.59a003d6.00000000	SUB.59a003d8.303d471d	mask_ctx->mask	?a?a?a?a?a
TOP.59a003d6.00000000	SUB.59a003d8.303d471d	runtime_start	1503658968
TOP.59a003d6.00000000	SUB.59a003d8.303d471d	runtime_stop	1503658970
TOP.59a003d6.00000000	SUB.59a003d8.303d471d	status-after-work	4
TOP.59a003d6.00000000	SUB.59a003d8.303d471d	STOP
TOP.59a003d6.00000000	proc_start	1503658966
TOP.59a003d6.00000000	proc_stop	1503658972
TOP.59a003d6.00000000	STOP
TOP.59a003f5.00000000	START
TOP.59a003f5.00000000	user_options->separator	:
TOP.59a003f5.00000000	user_options->encoding_from	utf-8
TOP.59a003f5.00000000	user_options->encoding_to	utf-8
TOP.59a003f5.00000000	user_options->outfile	E:\hashcat-3.6.0\Scripts\Output\output.txt
TOP.59a003f5.00000000	user_options->rule_buf_l	:
TOP.59a003f5.00000000	user_options->rule_buf_r	:
TOP.59a003f5.00000000	user_options->session	hashcat
TOP.59a003f5.00000000	user_options->limit	0
TOP.59a003f5.00000000	user_options->skip	0
TOP.59a003f5.00000000	user_options->attack_mode	3
TOP.59a003f5.00000000	user_options->benchmark	0
TOP.59a003f5.00000000	user_options->bitmap_max	24
TOP.59a003f5.00000000	user_options->bitmap_min	16
TOP.59a003f5.00000000	user_options->debug_mode	0
TOP.59a003f5.00000000	user_options->force	0
TOP.59a003f5.00000000	user_options->gpu_temp_abort	90
TOP.59a003f5.00000000	user_options->gpu_temp_disable	0
TOP.59a003f5.00000000	user_options->gpu_temp_retain	75
TOP.59a003f5.00000000	user_options->hash_mode	0
TOP.59a003f5.00000000	user_options->hex_charset	0
TOP.59a003f5.00000000	user_options->hex_salt	0
TOP.59a003f5.00000000	user_options->hex_wordlist	0
TOP.59a003f5.00000000	user_options->increment	0
TOP.59a003f5.00000000	user_options->increment_max	54
TOP.59a003f5.00000000	user_options->increment_min	1
TOP.59a003f5.00000000	user_options->keep_guessing	0
TOP.59a003f5.00000000	user_options->kernel_accel	0
TOP.59a003f5.00000000	user_options->kernel_loops	0
TOP.59a003f5.00000000	user_options->keyspace	0
TOP.59a003f5.00000000	user_options->left	0
TOP.59a003f5.00000000	user_options->logfile_disable	0
TOP.59a003f5.00000000	user_options->loopback	0
TOP.59a003f5.00000000	user_options->machine_readable	0
TOP.59a003f5.00000000	user_options->markov_classic	0
TOP.59a003f5.00000000	user_options->markov_disable	0
TOP.59a003f5.00000000	user_options->markov_threshold	256
TOP.59a003f5.00000000	user_options->nvidia_spin_damp	100
TOP.59a003f5.00000000	user_options->opencl_info	0
TOP.59a003f5.00000000	user_options->opencl_vector_width	0
TOP.59a003f5.00000000	user_options->outfile_autohex	1
TOP.59a003f5.00000000	user_options->outfile_check_timer	5
TOP.59a003f5.00000000	user_options->outfile_format	2
TOP.59a003f5.00000000	user_options->potfile_disable	0
TOP.59a003f5.00000000	user_options->powertune_enable	0
TOP.59a003f5.00000000	user_options->quiet	0
TOP.59a003f5.00000000	user_options->remove	0
TOP.59a003f5.00000000	user_options->remove_timer	60
TOP.59a003f5.00000000	user_options->restore	0
TOP.59a003f5.00000000	user_options->restore_disable	0
TOP.59a003f5.00000000	user_options->restore_timer	60
TOP.59a003f5.00000000	user_options->rp_files_cnt	0
TOP.59a003f5.00000000	user_options->rp_gen	0
TOP.59a003f5.00000000	user_options->rp_gen_func_max	4
TOP.59a003f5.00000000	user_options->rp_gen_func_min	1
TOP.59a003f5.00000000	user_options->rp_gen_seed	0
TOP.59a003f5.00000000	user_options->runtime	0
TOP.59a003f5.00000000	user_options->scrypt_tmto	0
TOP.59a003f5.00000000	user_options->segment_size	33554432
TOP.59a003f5.00000000	user_options->show	0
TOP.59a003f5.00000000	user_options->status	0
TOP.59a003f5.00000000	user_options->status_timer	10
TOP.59a003f5.00000000	user_options->stdout_flag	0
TOP.59a003f5.00000000	user_options->speed_only	0
TOP.59a003f5.00000000	user_options->progress_only	0
TOP.59a003f5.00000000	user_options->usage	0
TOP.59a003f5.00000000	user_options->username	0
TOP.59a003f5.00000000	user_options->veracrypt_pim	0
TOP.59a003f5.00000000	user_options->version	0
TOP.59a003f5.00000000	user_options->weak_hash_threshold	0
TOP.59a003f5.00000000	user_options->workload_profile	2
TOP.59a003f5.00000000	hashes->hashfile	E:\hashcat-3.6.0\Scripts\Input\hashes.hash
TOP.59a003f5.00000000	hashes->hashlist_mode	4
TOP.59a003f5.00000000	hashes->hashlist_format	0
TOP.59a003f5.00000000	hashes->hashes_cnt	0
TOP.59a003f5.00000000	hashes->digests_cnt	87
TOP.59a003f5.00000000	hashes->digests_done	0
TOP.59a003f5.00000000	hashes->salts_cnt	1
TOP.59a003f5.00000000	hashes->salts_done	0
TOP.59a003f5.00000000	SUB.59a003f8.303d471d	START
TOP.59a003f5.00000000	SUB.59a003f8.303d471d	mask_ctx->mask	?a?a?a?a?a?a
TOP.59a003f5.00000000	SUB.59a003f8.303d471d	runtime_start	1503659000
TOP.59a003f5.00000000	SUB.59a003f8.303d471d	runtime_stop	1503659125
TOP.59a003f5.00000000	SUB.59a003f8.303d471d	status-after-work	4
TOP.59a003f5.00000000	SUB.59a003f8.303d471d	STOP
TOP.59a003f5.00000000	proc_start	1503658997
TOP.59a003f5.00000000	proc_stop	1503659126
TOP.59a003f5.00000000	STOP
TOP.59a005bd.00000000	START
TOP.59a005bd.00000000	user_options->separator	:
TOP.59a005bd.00000000	user_options->custom_charset_1	?l?d?u
TOP.59a005bd.00000000	user_options->custom_charset_2	?l?d
TOP.59a005bd.00000000	user_options->custom_charset_3	?l?d*!$@_
TOP.59a005bd.00000000	user_options->encoding_from	utf-8
TOP.59a005bd.00000000	user_options->encoding_to	utf-8
TOP.59a005bd.00000000	user_options->outfile	E:\hashcat-3.6.0\Scripts\Output\output.txt
TOP.59a005bd.00000000	user_options->rule_buf_l	:
TOP.59a005bd.00000000	user_options->rule_buf_r	:
TOP.59a005bd.00000000	user_options->session	hashcat
TOP.59a005bd.00000000	user_options->limit	0
TOP.59a005bd.00000000	user_options->skip	0
TOP.59a005bd.00000000	user_options->attack_mode	3
TOP.59a005bd.00000000	user_options->benchmark	0
TOP.59a005bd.00000000	user_options->bitmap_max	24
TOP.59a005bd.00000000	user_options->bitmap_min	16
TOP.59a005bd.00000000	user_options->debug_mode	0
TOP.59a005bd.00000000	user_options->force	0
TOP.59a005bd.00000000	user_options->gpu_temp_abort	90
TOP.59a005bd.00000000	user_options->gpu_temp_disable	0
TOP.59a005bd.00000000	user_options->gpu_temp_retain	75
TOP.59a005bd.00000000	user_options->hash_mode	0
TOP.59a005bd.00000000	user_options->hex_charset	0
TOP.59a005bd.00000000	user_options->hex_salt	0
TOP.59a005bd.00000000	user_options->hex_wordlist	0
TOP.59a005bd.00000000	user_options->increment	1
TOP.59a005bd.00000000	user_options->increment_max	54
TOP.59a005bd.00000000	user_options->increment_min	1
TOP.59a005bd.00000000	user_options->keep_guessing	0
TOP.59a005bd.00000000	user_options->kernel_accel	0
TOP.59a005bd.00000000	user_options->kernel_loops	0
TOP.59a005bd.00000000	user_options->keyspace	0
TOP.59a005bd.00000000	user_options->left	0
TOP.59a005bd.00000000	user_options->logfile_disable	0
TOP.59a005bd.00000000	user_options->loopback	0
TOP.59a005bd.00000000	user_options->machine_readable	0
TOP.59a005bd.00000000	user_options->markov_classic	0
TOP.59a005bd.00000000	user_options->markov_disable	0
TOP.59a005bd.00000000	user_options->markov_threshold	256
TOP.59a005bd.00000000	user_options->nvidia_spin_damp	100
TOP.59a005bd.00000000	user_options->opencl_info	0
TOP.59a005bd.00000000	user_options->opencl_vector_width	0
TOP.59a005bd.00000000	user_options->outfile_autohex	1
TOP.59a005bd.00000000	user_options->outfile_check_timer	5
TOP.59a005bd.00000000	user_options->outfile_format	2
TOP.59a005bd.00000000	user_options->potfile_disable	0
TOP.59a005bd.00000000	user_options->powertune_enable	0
TOP.59a005bd.00000000	user_options->quiet	0
TOP.59a005bd.00000000	user_options->remove	0
TOP.59a005bd.00000000	user_options->remove_timer	60
TOP.59a005bd.00000000	user_options->restore	0
TOP.59a005bd.00000000	user_options->restore_disable	0
TOP.59a005bd.00000000	user_options->restore_timer	60
TOP.59a005bd.00000000	user_options->rp_files_cnt	0
TOP.59a005bd.00000000	user_options->rp_gen	0
TOP.59a005bd.00000000	user_options->rp_gen_func_max	4
TOP.59a005bd.00000000	user_options->rp_gen_func_min	1
TOP.59a005bd.00000000	user_options->rp_gen_seed	0
TOP.59a005bd.00000000	user_options->runtime	0
TOP.59a005bd.00000000	user_options->scrypt_tmto	0
TOP.59a005bd.00000000	user_options->segment_size	33554432
TOP.59a005bd.00000000	user_options->show	0
TOP.59a005bd.00000000	user_options->status	0
TOP.59a005bd.00000000	user_options->status_timer	10
TOP.59a005bd.00000000	user_options->stdout_flag	0
TOP.59a005bd.00000000	user_options->speed_only	0
TOP.59a005bd.00000000	user_options->progress_only	0
TOP.59a005bd.00000000	user_options->usage	0
TOP.59a005bd.00000000	user_options->username	0
TOP.59a005bd.00000000	user_options->veracrypt_pim	0
TOP.59a005bd.00000000	user_options->version	0
TOP.59a005bd.00000000	user_options->weak_hash_threshold	0
TOP.59a005bd.00000000	user_options->workload_profile	2
TOP.59a005bd.00000000	hashes->hashfile	E:\hashcat-3.6.0\Scripts\Input\hashes.txt
TOP.59a005bd.00000000	hashes->hashlist_mode	4
TOP.59a005bd.00000000	hashes->hashlist_format	0
TOP.59a005bd.00000000	hashes->hashes_cnt	0
TOP.59a005bd.00000000	hashes->digests_cnt	88
TOP.59a005bd.00000000	hashes->digests_done	0
TOP.59a005bd.00000000	hashes->salts_cnt	1
TOP.59a005bd.00000000	hashes->salts_done	0
TOP.59a005bd.00000000	SUB.59a005c0.303d471d	START
TOP.59a005bd.00000000	SUB.59a005c0.303d471d	mask_ctx->mask	?1
TOP.59a005bd.00000000	SUB.59a005c0.303d471d	runtime_start	1503659456
TOP.59a005bd.00000000	SUB.59a005c0.303d471d	runtime_stop	1503659457
TOP.59a005bd.00000000	SUB.59a005c0.303d471d	status-after-work	4
TOP.59a005bd.00000000	SUB.59a005c0.303d471d	STOP
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	START
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	mask_ctx->mask	?1?2
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	runtime_start	1503659457
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	runtime_stop	1503659457
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	status-after-work	4
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	STOP
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	START
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	mask_ctx->mask	?1?2?2
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	runtime_start	1503659457
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	runtime_stop	1503659457
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	status-after-work	4
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	STOP
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	START
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	mask_ctx->mask	?1?2?2?2
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	runtime_start	1503659458
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	runtime_stop	1503659458
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	status-after-work	4
TOP.59a005bd.00000000	SUB.59a005c1.003f6250	STOP
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	START
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	mask_ctx->mask	?1?2?2?2?2
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	runtime_start	1503659458
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	runtime_stop	1503659458
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	status-after-work	4
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	STOP
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	START
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	mask_ctx->mask	?1?2?2?2?2?2
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	runtime_start	1503659458
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	runtime_stop	1503659459
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	status-after-work	4
TOP.59a005bd.00000000	SUB.59a005c2.003f6250	STOP
TOP.59a005bd.00000000	SUB.59a005c3.003f6250	START
TOP.59a005bd.00000000	SUB.59a005c3.003f6250	mask_ctx->mask	?1?2?2?2?2?2?2
TOP.59a005bd.00000000	SUB.59a005c3.003f6250	runtime_start	1503659460
TOP.59a005bd.00000000	SUB.59a005c3.003f6250	runtime_stop	1503659483
TOP.59a005bd.00000000	SUB.59a005c3.003f6250	status-after-work	4
TOP.59a005bd.00000000	SUB.59a005c3.003f6250	STOP
TOP.59a005bd.00000000	SUB.59a005db.003f6250	START
TOP.59a005bd.00000000	SUB.59a005db.003f6250	mask_ctx->mask	?1?2?2?2?2?2?2?3
TOP.59a005bd.00000000	SUB.59a005db.003f6250	runtime_start	1503659483
TOP.59a005bd.00000000	SUB.59a005db.003f6250	runtime_stop	1503659581
TOP.59a005bd.00000000	SUB.59a005db.003f6250	status-after-work	7
TOP.59a005bd.00000000	SUB.59a005db.003f6250	STOP
TOP.59a005bd.00000000	proc_start	1503659453
TOP.59a005bd.00000000	proc_stop	1503659582
TOP.59a005bd.00000000	STOP
TOP.59a0065b.00000000	START
TOP.59a0065b.00000000	user_options->separator	:
TOP.59a0065b.00000000	user_options->custom_charset_1	?l?d?u
TOP.59a0065b.00000000	user_options->custom_charset_2	?l?d
TOP.59a0065b.00000000	user_options->custom_charset_3	?l?d*!$@_
TOP.59a0065b.00000000	user_options->encoding_from	utf-8
TOP.59a0065b.00000000	user_options->encoding_to	utf-8
TOP.59a0065b.00000000	user_options->outfile	E:\hashcat-3.6.0\Scripts\Output\output.txt
TOP.59a0065b.00000000	user_options->rule_buf_l	:
TOP.59a0065b.00000000	user_options->rule_buf_r	:
TOP.59a0065b.00000000	user_options->session	hashcat
TOP.59a0065b.00000000	user_options->limit	0
TOP.59a0065b.00000000	user_options->skip	0
TOP.59a0065b.00000000	user_options->attack_mode	3
TOP.59a0065b.00000000	user_options->benchmark	0
TOP.59a0065b.00000000	user_options->bitmap_max	24
TOP.59a0065b.00000000	user_options->bitmap_min	16
TOP.59a0065b.00000000	user_options->debug_mode	0
TOP.59a0065b.00000000	user_options->force	0
TOP.59a0065b.00000000	user_options->gpu_temp_abort	90
TOP.59a0065b.00000000	user_options->gpu_temp_disable	0
TOP.59a0065b.00000000	user_options->gpu_temp_retain	75
TOP.59a0065b.00000000	user_options->hash_mode	0
TOP.59a0065b.00000000	user_options->hex_charset	0
TOP.59a0065b.00000000	user_options->hex_salt	0
TOP.59a0065b.00000000	user_options->hex_wordlist	0
TOP.59a0065b.00000000	user_options->increment	1
TOP.59a0065b.00000000	user_options->increment_max	54
TOP.59a0065b.00000000	user_options->increment_min	1
TOP.59a0065b.00000000	user_options->keep_guessing	0
TOP.59a0065b.00000000	user_options->kernel_accel	0
TOP.59a0065b.00000000	user_options->kernel_loops	0
TOP.59a0065b.00000000	user_options->keyspace	0
TOP.59a0065b.00000000	user_options->left	0
TOP.59a0065b.00000000	user_options->logfile_disable	0
TOP.59a0065b.00000000	user_options->loopback	0
TOP.59a0065b.00000000	user_options->machine_readable	0
TOP.59a0065b.00000000	user_options->markov_classic	0
TOP.59a0065b.00000000	user_options->markov_disable	0
TOP.59a0065b.00000000	user_options->markov_threshold	256
TOP.59a0065b.00000000	user_options->nvidia_spin_damp	100
TOP.59a0065b.00000000	user_options->opencl_info	0
TOP.59a0065b.00000000	user_options->opencl_vector_width	0
TOP.59a0065b.00000000	user_options->outfile_autohex	1
TOP.59a0065b.00000000	user_options->outfile_check_timer	5
TOP.59a0065b.00000000	user_options->outfile_format	2
TOP.59a0065b.00000000	user_options->potfile_disable	0
TOP.59a0065b.00000000	user_options->powertune_enable	0
TOP.59a0065b.00000000	user_options->quiet	0
TOP.59a0065b.00000000	user_options->remove	0
TOP.59a0065b.00000000	user_options->remove_timer	60
TOP.59a0065b.00000000	user_options->restore	0
TOP.59a0065b.00000000	user_options->restore_disable	0
TOP.59a0065b.00000000	user_options->restore_timer	60
TOP.59a0065b.00000000	user_options->rp_files_cnt	0
TOP.59a0065b.00000000	user_options->rp_gen	0
TOP.59a0065b.00000000	user_options->rp_gen_func_max	4
TOP.59a0065b.00000000	user_options->rp_gen_func_min	1
TOP.59a0065b.00000000	user_options->rp_gen_seed	0
TOP.59a0065b.00000000	user_options->runtime	0
TOP.59a0065b.00000000	user_options->scrypt_tmto	0
TOP.59a0065b.00000000	user_options->segment_size	33554432
TOP.59a0065b.00000000	user_options->show	0
TOP.59a0065b.00000000	user_options->status	0
TOP.59a0065b.00000000	user_options->status_timer	10
TOP.59a0065b.00000000	user_options->stdout_flag	0
TOP.59a0065b.00000000	user_options->speed_only	0
TOP.59a0065b.00000000	user_options->progress_only	0
TOP.59a0065b.00000000	user_options->usage	0
TOP.59a0065b.00000000	user_options->username	0
TOP.59a0065b.00000000	user_options->veracrypt_pim	0
TOP.59a0065b.00000000	user_options->version	0
TOP.59a0065b.00000000	user_options->weak_hash_threshold	0
TOP.59a0065b.00000000	user_options->workload_profile	2
TOP.59a0065b.00000000	hashes->hashfile	E:\hashcat-3.6.0\Scripts\Input\hashes.txt
TOP.59a0065b.00000000	hashes->hashlist_mode	4
TOP.59a0065b.00000000	hashes->hashlist_format	0
TOP.59a0065b.00000000	hashes->hashes_cnt	0
TOP.59a0065b.00000000	hashes->digests_cnt	2
TOP.59a0065b.00000000	hashes->digests_done	1
TOP.59a0065b.00000000	hashes->salts_cnt	1
TOP.59a0065b.00000000	hashes->salts_done	0
TOP.59a0065b.00000000	SUB.59a0065d.303d471d	START
TOP.59a0065b.00000000	SUB.59a0065d.303d471d	mask_ctx->mask	?1
TOP.59a0065b.00000000	SUB.59a0065d.303d471d	runtime_start	1503659613
TOP.59a0065b.00000000	SUB.59a0065d.303d471d	runtime_stop	1503659613
TOP.59a0065b.00000000	SUB.59a0065d.303d471d	status-after-work	4
TOP.59a0065b.00000000	SUB.59a0065d.303d471d	STOP
TOP.59a0065b.00000000	SUB.59a0065d.007f6250	START
TOP.59a0065b.00000000	SUB.59a0065d.007f6250	mask_ctx->mask	?1?2
TOP.59a0065b.00000000	SUB.59a0065d.007f6250	runtime_start	1503659614
TOP.59a0065b.00000000	SUB.59a0065d.007f6250	runtime_stop	1503659614
TOP.59a0065b.00000000	SUB.59a0065d.007f6250	status-after-work	4
TOP.59a0065b.00000000	SUB.59a0065d.007f6250	STOP
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	START
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	mask_ctx->mask	?1?2?2
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	runtime_start	1503659614
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	runtime_stop	1503659614
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	status-after-work	4
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	STOP
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	START
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	mask_ctx->mask	?1?2?2?2
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	runtime_start	1503659614
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	runtime_stop	1503659614
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	status-after-work	4
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	STOP
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	START
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	mask_ctx->mask	?1?2?2?2?2
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	runtime_start	1503659614
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	runtime_stop	1503659614
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	status-after-work	4
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	STOP
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	START
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	mask_ctx->mask	?1?2?2?2?2?2
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	runtime_start	1503659615
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	runtime_stop	1503659615
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	status-after-work	4
TOP.59a0065b.00000000	SUB.59a0065e.007f6250	STOP
TOP.59a0065b.00000000	SUB.59a0065f.007f6250	START
TOP.59a0065b.00000000	SUB.59a0065f.007f6250	mask_ctx->mask	?1?2?2?2?2?2?2
TOP.59a0065b.00000000	SUB.59a0065f.007f6250	runtime_start	1503659616
TOP.59a0065b.00000000	SUB.59a0065f.007f6250	runtime_stop	1503659639
TOP.59a0065b.00000000	SUB.59a0065f.007f6250	status-after-work	4
TOP.59a0065b.00000000	SUB.59a0065f.007f6250	STOP
TOP.59a0065b.00000000	SUB.59a00677.007f6250	START
TOP.59a0065b.00000000	SUB.59a00677.007f6250	mask_ctx->mask	?1?2?2?2?2?2?2?3
TOP.59a0065b.00000000	SUB.59a00677.007f6250	runtime_start	1503659639
TOP.59a0065b.00000000	SUB.59a00677.007f6250	runtime_stop	1503660585
TOP.59a0065b.00000000	SUB.59a00677.007f6250	status-after-work	4
TOP.59a0065b.00000000	SUB.59a00677.007f6250	STOP
TOP.59a0065b.00000000	SUB.59a00a29.007f6250	START
TOP.59a0065b.00000000	SUB.59a00a29.007f6250	mask_ctx->mask	?1?2?2?2?2?2?2?3?3
TOP.59a00a95.00000000	START
TOP.59a00a95.00000000	user_options->separator	:
TOP.59a00a95.00000000	user_options->encoding_from	utf-8
TOP.59a00a95.00000000	user_options->encoding_to	utf-8
